Год;Вакансия;Работодатель;Зарплата от;Зарплата до;Валюта;График работы;Тип занятости;Регион;Город;Адрес;Обязанности;Ссылка;vacancy_hash
2025;Подсобный рабочий;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬЯНС""";25000;25000;RUB;;Полная занятость;Ярославская область;Ярославль;0;Погрузка и разгрузка товарно-материальных ценностей. Перемещение грузов на хранение в складские помещения и распределение их в соответствующие отсеки. Упаковка грузов в необходимую тару. Работа с приборами и инвентарем в рамках получаемых от непосредственного руководителя заданий и своей компетенции. Поддержание в чистоте производственных помещений, складов и прилегающих территорий. 1. Дисциплинированность 2. Коммуникабельность 3. Ответственность;https://trudvsem.ru/vacancy/card/1087611000707/80eda8f0-ce4c-11ef-8596-e7d0d2cf29b1;dbca0fa1c26af0d395cd10e726113a42
2025;Сканировщик торгового зала;АШАН Ритейл Россия;0;46600;RUB;Гибкий график;Частичная занятость;Ярославская область;Ярославль;0;"МЫ ПОВЫСИЛИ ЗАРАБОТНУЮ ПЛАТУ!Совокупный ежемесячный доход до 46600 руб., по результатам собеседованияВозможен дополнительный доход +50% от оклада с учетом подработокПолучайте бонусы от 15 000р. до 40 000р. за каждого трудоустроенного другаГрафики работы на выбор:5/2 по 8 часов, плавающие выходные;2/2 по 11 часов;при желании возможно взять подработки в компании, например, 5/2 по 12 часоввозможно трудоустройство по совместительству, с индивидуальным графиком, от 1 дня в неделювозможна подработка для школьников с 14 лет, с индивидуальным графикомЧем предстоит заниматься:выкладка товара на полки, контроль ценников, контроль сроков годности​​​.Пожелания к кандидату:опыт работы не обязателен - проводим обучение.Оставляйте отклик или позвоните нам!Данная вакансия также подойдет, если вы искали: работник торгового зала, продавец, кассир, продавец-кассир, продавец-консультант, работник магазина, мерчендайзер, работник по выкладке товара, оператор склада, кладовщик, сборщик заказов, официант, рабочий, грузчик, комплектовщик, упаковщик, фасовщик, курьер, товаровед, приемщик, разнорабочий, администратор торгового зала, старший кассир, работник кулинарии, кухонный работник, помощник повара, член бригады ресторана, АШАН, АТАК, Азбука Вкуса, Вкусвилл, Лента, Пятерочка, Магнит, Перекресток, Билла, Карусель, Дикси, Мясницкий ряд, Верный, Глобус, Вкусно и точка, Самокат, Яндекс еда, Спар, Euro Spar, Магнолия, Красное белое, Fix Price, Мясновъ Мираторг, Ремит, Фикс Прайс, Сбермаркет, Яндекс маркет, ОКЕЙ, МЕГА, ЕвроСпар, Чижик, Леруа Мерлен, Декатлон, Спортмастер, Детский мир, Ярче, Красное и Белое, подработка, свободный график, сменный график, гибкий график, работа рядом с домом, без опыта работы, начало карьеры, начинающий специалист";https://hh.ru/vacancy/116708598;ec92a65bdb6c60566aa20d2852014722
2025;Уборщик служебных помещений Некоузского представительства;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО ЯРОСЛАВЛЬ""";23000;23000;RUB;;Частичная занятость;Ярославская область;Ярославль;1276;Уборка офисных помещений, санузлов, заправка диспенсеров полотенцами и моющими средствами. 0,1 ставки - 2 300 руб. график работы: понедельник - пятница с 8:00 до 8:48, выходные: суббота, воскресенье. Желателен опыт работы уборщиком. В счет квоты для несовершеннолетних граждан.;https://trudvsem.ru/vacancy/card/1057601050011/1a69f9d5-1741-11ee-aba2-df76e8ab7d11;5789566db4e1b8df43030b09ddbd7395
2025;подсобный рабочий;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНАТОРИЙ ""ЗОЛОТОЙ КОЛОС""";20204;0;RUB;;Частичная занятость;Ярославская область;Ярославль;904;Выполнение подсобных работ коммуникабельсность, дисциплинированность, без вредных привычек.;https://trudvsem.ru/vacancy/card/1037602608691/d8c9a2b5-134c-11ef-b79b-e7d0d2cf29b1;8c94473edf849b3574c3f9ce7c965c6a
2025;Помощник в кафе, подработка;НОВАЯ РАБОТА (ИП Лядов Владимир Антонович);58137;0;RUB;Полный день;Частичная занятость;Ярославская область;Ярославль;514;"Сотрудник в кафе быстрого обслуживания в разные районы города Обязанности: Сбор и выдача заказов Расчет гостей на кассе Готовка блюд по стандартам Уборка служебных и гостевых помещений Требования: К нам ты можешь прийти без опыта: мы все расскажем и всему научим Условия: Официальное трудоустройство Стабильная зарплата и премии, выплаты два раза в месяц Бесплатные и вкусные обеды Индивидуальный график работы: совмещение, подработка Место работы выбираешь сам: в центре города или рядом с домом Оплачиваемые больничные листы и отпуска, в том числе учебные Количество мест ограничено. Откликнись прямо сейчас! Наше предложение подойдет, если тебе интересны вакансии: повар, кассир, продавец, консультант, официант, администратор, начинающий специалист, сборщик заказов. Приветствуется опыт работы в ДоДо Пицца, Бургер Кинг, KFC, Ростикс, Domino&#39;s Pizza, Папа Джонс, Ташир Пицца и др.";https://hh.ru/vacancy/115022542;a880c816ec5b25cf5ae6b140971fab25
2024;Утренний/вечерний курьер на лёгкие посылки, подработка;Птицына Анастасия Андреевна;89420;139037;RUB;Гибкий график;Частичная занятость;Ярославская область;Ярославль;573;Заработай на НОВЫЙ ГОД с высокими тарифами 14+! Требуются курьеры, у нас свободный график (можно работать у дома)! ❗️❗️МОЖНО работать НА АЙФОНЕ❗️❗️И на андроиде тоже можно. ✔️ ЕЖЕДНЕВНЫЕ ВЫПЛАТЫ ✔️ ОПЛАТА 3.500- 4.000- 6.400 за день (зависит от времени работы) ✔️ ПРИНИМАЕМ БЕЗ ОПЫТА (обучим - покажем) ❗️Оформление без записи в трудовую книжку! ПО РАБОТЕ: Можно использовать как подработку(Легко совмещать с учебой или работой) Район на выбор, можно менять каждую смену(7-10 мин среднее время доставки) Заказы на доставку собраны и оплачены. Вы только доставляете(Вес до 5 кг) Чаевые и доплаты 100% ваши,за заказы комиссии нет! Прием ЕЖЕДНЕВНО (даже в выходные)! ДОХОД: Средняя оплата за 4 часа - около 3.000 руб. Акция приведи друга - получи до 10тр ЖМИ ОТКЛИКНУТЬСЯ Мы пришлем информацию в ответном сообщении в течение пары минут и чуть позднее напишем в WhatsApp Данная вакансия также подойдет, если вы искали: работа курьером, курьер, курьер с ежедневной оплатой, курьер пеший, курьер подработка, курьер выходного дня, свободный график, пешком, яндекс доставка, доставщик яндекс еда, яндекс лавка, яндекс про, яндекс маркет, сбермаркет, деливери клаб, delivery club, dostavista, достависта, курьер додо, озон, сдек, доставка суши, доставка еды, еду, доставка документов посылок, устроиться курьером, работа в районе, курьер с ежедневной оплатой, подработка с ежедневными выплатами, работа рядом с домом, без опыта, оплата каждый день. ЖМИ ОТКЛИКНУТЬСЯ;https://hh.ru/vacancy/91164189;16c19ef8718d589318493a26b488c6e5
2024;Курьер на подработку с ежедневными выплатами;Птицына Анастасия Андреевна;69420;139037;RUB;Сменный график;Частичная занятость;Ярославская область;Углич;573;Заработай в сезон БОЛЬШЕ с высокими тарифами 16+ ! Требуются курьеры, у нас свободный график (можно работать у дома)!Можно работать пешком или на любом своем транспорте. ❗️❗️МОЖНО работать НА АЙФОНЕ❗️❗️И на андроиде тоже можно. ✔️ СВОБОДНЫЙ ГРАФИК ✔️ ОПЛАТА 3.500- 4.000- 5.600 за день. Зависит от времени работы. ✔️ ПРИНИМАЕМ БЕЗ ОПЫТА. Обучим - покажем. ❗️Оформление без записи в трудовую книжку! ПО РАБОТЕ: Можно использовать как подработку(Легко совмещать с учебой или работой) Район на выбор(10 мин среднее время доставки) Заказы на доставку собраны и оплачены. Вы только доставляете. Чаевые и доплаты 100% ваши,за заказы комиссии нет! Прием ЕЖЕДНЕВНО (даже в выходные)! ДОХОД: Оплата за 4 часа - до 4.000 руб.(зависит от района и времени суток) ЖМИ ОТКЛИКНУТЬСЯ Мы пришлем информацию в ответном сообщении в течение пары минут и скоро напишем в WhatsApp Данная вакансия также подойдет, если вы искали: работа курьером, курьер, курьер с ежедневной оплатой, курьер пеший, курьер подработка, курьер выходного дня, свободный график, пешком, яндекс доставка, доставщик яндекс еда, яндекс лавка, яндекс про, яндекс маркет, сбермаркет, деливери клаб, delivery club, dostavista, достависта, курьер додо, озон, сдек, доставка суши, доставка еды, еду, доставка документов посылок, устроиться курьером, работа в районе, курьер с ежедневной оплатой, подработка с ежедневными выплатами, работа рядом с домом, без опыта, оплата каждый день. ЖМИ ОТКЛИКНУТЬСЯ!;https://hh.ru/vacancy/106594658;00d520d763e1111ed0598c7f6f5aebe2
2023;Сканировщик на пункт выдачи легких заказов выходного дня (Подработка);Кондратьева Наталья Михайловна;86200;124820;RUB;Гибкий график;Частичная занятость;Ярославская область;Ярославль;573;"Сборщик интернет-заказов (на подработку). Сборка только у дома. (В своем районе). Вы только собираете, по желанию, можно доставлять и получать дополнительный доход. ❗ Готовы рассмотреть кандидатов с 16 лет НАЖИМАЙТЕ ОТКЛИК НА ВАКАНСИЮ - СРАЗУ ОТПРАВИМ ПОДРОБНОСТИ ✔️ Рассмотрим с любой платформой телефона (андроид или IOS) ✔️ Работа только в вашем районе; ✔️ Море заказов! Успейте заработать в сезон ❗ ЕЖЕНЕДЕЛЬНЫЕ ВЫПЛАТЫ. Официально на карту ❗ ОПЛАТА 1800-3200 за день (часовая ставка - Гарантия) ❗ БЕЗ ОПЫТА. (моментальное вводное обучение) ✅ УСЛОВИЯ РАБОТЫ: • МОЖНО ИСПОЛЬЗОВАТЬ КАК ПОДРАБОТКУ • ЛЮБОЙ РАЙОН ГОРОДА (даже рядом с домом)! • ВЫПЛАТЫ ЕЖЕНЕДЕЛЬНО. Платим даже если нет заказов! • Самые высокие ставки по городу • Чаевые и доплаты 100% ваши, абсолютно НЕТ КОМИССИЙ! • Прием ЕЖЕДНЕВНО (и в выходные)! Начать можно сразу после оформления! ✅ СУТЬ РАБОТЫ: • Собирать заказы в удобном районе • Можно еще доставлять собранные заказы, увеличивая доход (по желанию) ✅ ЗАРАБОТОК: • Средняя оплата за 4 часа от 1000 руб и выше зависит от часов работы! • Еженедельно на карту до 260 рублей в час + надбавки и бонусы • Во время повышенного спроса до 300 рублей в час ЖМИ ОТКЛИКНУТЬСЯ - сразу отправим подробности «подработка , моментальный вывод, подработка с ежедневными выплатами, работа рядом с домом, работа на районе, доставка документов, доставка грузов, оплата каждый день, еженедельная оплата, ежедневная оплата, доставщик яндекс еда, прямой работодатель, деливери клаб, достависта, додо пицца, доставка суши, доставка роллов, delivery club, dostavista, gett, uber, убер, яндекс го, яндекс go, гетт доставка, работа, ищу работу, подработка в вечернее время, работа в утреннее время, работа в дневное время, режим работы, сдэк, сдек, , подключиться на доставку, подработка на выходные, яндекс доставка, яндекс курьерская доставка, яндекс маркет доставка, доставка»";https://hh.ru/vacancy/86142503;d61d4989d43aeb8343608c59875309b6
2025;Курьер на склад (легкие заказы для дома 1-3 кг);Работа-Подработка: Курьер, Кладовщик, Сборщик;135000;267000;RUB;Полный день;Частичная занятость;Ярославская область;Ярославль;0;Добрый день уважаемый соискатель!Нам требуется курьер с ежедневной оплатой на подработку или как на основную работу!В данный момент у нас 11 категорий доставок, а именно доставка ЦВЕТОВ, ДОКУМЕНТОВ, ЗООТОВАРОВ, АПТЕКИ, ЭЛЕКТРОНИКА и т.дОбязанности- Доставка небольших посылок (время доставок вы выбираете самостоятельно -сами)- Выполнение заказов через приложение- Очень много заказав- Доставки по районуТребования- Телефон андроид или айфон- Желание зарабатыватьУсловия:- Ежедневные выплаты: до 7000 руб./день.- Близко к дому: доставки в твоем районе.- Легкие заказы: вес до 2 кг.- Гибкое расписание (время и количество рабочих часов выбираете самостоятельно)- Нет обязательного плана по доставкеНажмите ОТКЛИКНУТЬСЯ прямо сейчас и получите все подробности о работе! Также пишите в мессенджерах WhatsApp/Telegram: менеджер 24/7 готов ответить на вопросы и помочь с оформлением. Не упустите свой шанс начать уже сегодня!Также подойдет, если вы искали: «курьер, подработка с ежедневными выплатами, ежедневная оплата, свободный график, ночной курьер, вечерний курьер, доставка, лавка, документы, груз, сервис, пеший курьер, оплата каждый день, подработка, работа рядом с домом, достависта, график, свободный, пеший курьер, работа по району, официальное трудоустройство, зарплата, ЗП, оплата, доставка, работа курьером, курьер, еженедельная, ежедневная, на руки курьеру, подработка, прямой работодатель, ищу работу, время, работа без опыта, оплата сразу, утреннее, дневное, вечернее , время, режим»ОБРАЩАЕМ ВНИМАНИЕ, после отклика на данную вакансию потребуется предоставление информации или выполнение иных действий на сторонних информационных ресурсах.;https://hh.ru/vacancy/126042135;f7dc997e05e152f00ea05eb3d4e2d117
2023;Промоутер-распространитель;Ярспецгаз;25000;40000;RUB;Гибкий график;Частичная занятость;Ярославская область;Ярославль;957;Обязанности: Распространение листовок по почтовым ящикам Предоставление фотоотчетов о проделанной работе Требования: Требуется сотрудник на постоянную работу Желание работать и зарабатывать. Добросовестность, ответственность и честность. Опыт работы не обязателен Возраст от 16 лет Условия: Подробный инструктаж Приступить к работе можно сразу, после собеседования в этот же день Возможность совмещать с учебой и работой! Оплата происходит ежедневно или раз в неделю, сугубо по вашему сделанному объёму Возможно оформление по трудовому договору Ограничений на максимум нет, все зависит только от вашего желания и активности;https://hh.ru/vacancy/81409606;9c47b64dec564ccc9d0ef58120a06907
