Год;Вакансия;Работодатель;Зарплата от;Зарплата до;Валюта;График работы;Тип занятости;Регион;Город;Адрес;Обязанности;Ссылка
2023;Курьер Легких Заказов (Яндекс Еда);Центр обучения курьеров;115000;137000;RUB;Гибкий график;Частичная занятость;Ярославская область;Ярославль;Ярославль;КУРЬЕР с ежедневной оплатой, лёгкие заказы, (СРОЧНО - МОЖНО НА ПОДРАБОТКУ). Только по микрорайону у дома (заказы собраны, и оплачены) ✔️ ЕЖЕДНЕВНЫЕ ВЫПЛАТЫ ✔️ ТЕЛЕФОН НА БАЗЕ АНДРОИД ИЛИ АЙФОН ✔️ ВЫПЛАТЫ 3.000- 5.500 за день (от времени работы) ✔️ ПРИНИМАЕМ БЕЗ ОПЫТА (обучим и поможем) ❗️НЕТ КОМИССИИ С ЗАКАЗОВ - у нас без процентов УСЛОВИЯ РАБОТЫ: Можно использовать как подработку ( Легко совмещать с учебой или работой ) Заказы на доставку собраны и оплачены. Вы только доставляете! Доставляй на любом виде транспорта Район на выбор, можно менять каждую смену (7-10 мин среднее время доставки ) Чаевые и доплаты 100% ваши, за заказы комиссии нет! Прием ЕЖЕДНЕВНО (и в выходные)! ЗАРАБОТОК: Средняя оплата за 4 часа около 1.800 руб. и выше зависит от скорости работы Условия выплат: Ежедневно на карту до 550 рублей в час + надбавки и бонусы ‼️ Во время повышенного спроса до 750рублей в час ‼️ ЖМИ ОТКЛИКНУТЬСЯ!Также подойдет, если вы искали: документы, работа курьером, курьер, курьер с ежедневной оплатой, курьер пеший, курьер подработка, курьер выходного дня, день, вечер, утро, в ночь, вечеромам, вечером, свободный график, пешком, яндекс доставка, доставщик , лавка, яндекс про, яндекс маркет, сбермаркет, деливери клаб, delivery club, dostavista, достависта, курьер додо, озон, сдек, доставка суши, доставка еды, еду, доставка документов посылок, устроиться курьером, работа в районе, курьер с ежедневной оплатой, подработка с ежедневными выплатами, работа рядом с домом, без опыта, оплата каждый день, доставщик;https://hh.ru/vacancy/90991579
2023;КУРЬЕР нa 1-4 чаca, лёгкиe посылок дo 2 кг. (ОПЛATA-ЕЖЕДНЕВНO) мoжнo на ПОДРАБОТКУ.;Курьер - Центр Найма;122680;167528;RUB;Гибкий график;Частичная занятость;Ярославская область;Ярославль;Г. ПОСЫЛКИ, ХОЗТОВАРЫ, АПТЕКА, И НЕ ТОЛЬКО.;"КУРЬЕР нa 1-4 чаca, лёгкиe посылок дo 2 кг. (ОПЛATA-ЕЖЕДНЕВНO) мoжнo на ПОДРАБОТКУ. Курьер, на 1-3 часа лёгкие посылок до 2 кг. (CPOЧНO) с android/Iphone, ПOДPAБOTKA. Выплаты ежедневно- по свободному графику. НЕБОЛЬШОЙ ВЕС ДО 2 КГ. ПОСЫЛКИ, ХОЗТОВАРЫ, АПТЕКА, И НЕ ТОЛЬКО. СВОБОДНЫЙ ГРАФИК. ЕЖЕДНЕВНЫЕ ВЫПЛАТЫ. РАБОТА В СВОЁМ PAЙОНЕ. РАБОТАЙ УTPOМ ДНЕ ИЛИ ДAЖЕ НOЧЬЮ ! НОВЕЙШИЙ СЕРВИС ультра коротких заказов от 300 метров до 1.5 км. Стабильно 2-4 ЗАКАЗА В ЧАС. ✔ ПРИ ПОЛНОЙ ЗАНЯТОСТИ ДО 6000 РУБ . ✔ ПРИ ЧАСТИЧНОЙ - 1700-2500 РУБ. ВЫПЛАТЫ ЕЖЕДНЕВНО . ✅ ТВОИ ЗАДАЧИ : Осуществление оперативной и надежной доставки по указанным адресам (радиус доставки не более 2,5 км). Небольшой вес до 2 кг. - Посылки, Хозтовары, Аптека, и прочее ✅ ТРЕБОВАНИЯ: Принимаем БЕЗ OПЫТA работы Медкнижка НЕ нужна; Наличие устройства / смартфона на IOS или Android; ✅ НАШИ ГЛАВНЫЕ ПРЕИМУЩЕСТВА : Самый высокий доход. Бесконечные заказы. Абсолютная свобода. Любой ваш график. Работай утром, днем или даже вечером Возможности для КАРЬЕРНОГО РОСТА и саморазвития Приятные бoнусы и скидки от наших партнеров ​✅ УСЛОВИЯ ВЫПЛАТ: Ежедневнo без задержек, за каждый выполненный заказ. От 500 до 5500 за смену, зависит от выбранного графика. Не вычитаем % и комиссию НАЖИМАЕМ ОТКЛИК НА ВАКАНСИЮ - МЫ ОТВЕТИМ ВАМ СРАЗУ! БУДЕМ РАДЫ ЕСЛИ ПОСТАВИТЕ ЛАЙК ВАКАНСИИ!❤ УВЕРЕНЫ, ВАКАНСИЯ ВАМ ПОНРАВИТСЯ! (Количество мест ограничено) ТАКЖЕ ПОДОЙДЕТ, ЕСЛИ ВЫ ИСКАЛИ : «курьер, подработка с ежедневными выплатами , ежедневная оплата, свободный график , ночной курьер, доставка, лавка, документы, груз, сервис, оплата каждый день, подработка, работа рядом с домoм, оплата ежедневная, достависта, график, свободный, , работа по рaйону, официальное трудоустройство, зарплата,утромсч, ЗП, оплата, доставка, работа курьером, курьер, еженедельная, ежедневная, на руки курьеру, подработка, прямой работoдaтель, ищу работу, время, работа без опыта, оплата сразу, утреннee, дневное, вечернее , время, режим»((После отклика на данн­ую вакансию потребуе­тся предоставление информации или выполн­ение иных действий на сторонних информационных ресурсах))";https://hh.ru/vacancy/84625737
2023;Подсобно-транспортный рабочий (квота для несовершеннолетних граждан, 0,25 ставки);"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАНИЛОВСКИЙ ХЛЕБОЗАВОД""";16242;16242;RUB;Неполный день;Полная занятость;Ярославская область;Данилов;Данилов;Ответственность, дисциплинированность;https://trudvsem.ru/vacancy/card/1027601457828/354cf9d5-90de-11ed-84fd-17f530626801
2023;Курьер в Рестораны и Кафе (подработка);Квазар;61500;111500;RUB;Гибкий график;Частичная занятость;Ярославская область;Ярославль;Ярославль;КУРЬЕР С ЕЖЕДНЕВНЫМИ ВЫПЛАТАМИ СО СВОБОДНЫМ ГРАФИКОМ! НАЖИМАЙТЕ ОТКЛИК НА ВАКАНСИЮ - МЫ СВЯЖЕМСЯ С ВАМИ Выплаты каждый день! Нет комиссий! Гарантия заработка! Свободное расписание! Заинтересовались? Звоните! Или оставьте ваш номер в чате! Мы перезвоним максимально быстро! Легкие заказы. Только по микрорайону у дома. Набор курьеров: можно без опыта. Любая подработка от 4-ёх часов в день/неделю. Подработка на выходные дни. В том числе вечерняя подработка Подработка со свободным расписанием, в том числе и для тех, у кого уже есть основная работа. Возможна подработка с расписанием - 2 через 2. ✅ ВЫПЛАТЫ ЕЖЕДНЕВНЫЕ ✅ ОПЛАТА 3.000 - 5.500 за день (от времени работы) ✅ БЕЗ ОПЫТА (обучим - поддержка на старте) ❗️ БЕЗ ТРУДОВОЙ КНИЖКИ (можно использовать в качестве подработки) ❗️НЕТ КОМИССИИ С ЗАКАЗОВ - у нас без процентов УСЛОВИЯ РАБОТЫ: ПРИНИМАЕМ БЕЗ ОПЫТА КУРЬЕРОВ Можно использовать как подработку (Легко совмещать с работой или учебой) Район для работы выбираете сами (район можно менять каждую смену) Только доставляете - без сбора! (вес до 5 кг) Большое количество заказов ❗️ Любой график ❗️ Оформление Круглосуточно (даже в выходные) ✔️ ДОХОД: Средняя оплата за 4 часа около 1.800 руб и выше, зависит от времени работы ❗️ Оплата за полный день 3.000- 5.500 ❗️ Приглашайте друзей и получайте бонус ❗️ ❗Самые высокие ставки по городу ❗️ ЖМИТЕ ОТКЛИКНУТЬСЯ, ЗВОНИТЕ ИЛИ ПИШИТЕ В МЕССЕНДЖЕРЫ - сразу отправим подробности ☎️ Данная вакансия также подойдет, если вы искали: работа курьером, курьер, курьер с ежедневной оплатой, курьер пеший, курьер подработка, пешком, пеший курьер, курьер пеший, курьер выходного дня, свободный график, пешком, яндекс доставка, курьер, доставщик яндекс еда, яндекс лавка, яндекс про, яндекс маркет, сбермаркет, деливери клаб, delivery club, dostavista, достависта, курьер додо, озон, сдек, доставка еды, курьер яндекс еда, курьер в яндекс еду, доставка пешком, яндекс еды, доставка суши, доставка еды, ночной курьер, подработка, для вечернее, работа без опыта, утреннее, дневное, время, режим, доставка документов посылок, устроиться курьером, работа в районе, курьер с ежедневной оплатой, подработка с ежедневными выплатами, работа рядом с домом, без опыта, оплата каждый день.ОБРАЩАЕМ ВНИМАНИЕ, после отклика на данную вакансию потребуется предоставление информации или выполнение иных действий на сторонних информационных ресурсах.;https://hh.ru/vacancy/77184847
2023;Курьер/начинающий специалист (подработка);Центр найма курьеров;130700;186478;RUB;Гибкий график;Частичная занятость;Ярославская область;Ярославль;Ярославль;"КУРЬЕР НА УЛЬТРА-КОРОТКИЕ ПОСЫЛКИ оплачиваем сразу (подработка -начинающий специалист) Вечерний курьер, выходного дня ❗️❗️СРОЧНО ИЩЕМ КУРЬЕРОВ, МОЖНО БЕЗ ОПЫТА❗️❗️ ➡️НАЖИМАЕМ ОТКЛИК НА ВАКАНСИЮ - МЫ СВЯЖЕМСЯ ЧЕРЕЗ 1 МИНУТУ➡️ ⚠️ Пригласи друга получи до 2000 тысяч рублей!⚠️ !!СО СВОЕЙ ОДЕЖДОЙ❗ !!ЛЮБОЙ ТЕЛЕФОН❗ !!ЕЖЕДНЕВНЫЙ ПРИЁМ❗ !!ЕЖЕДНЕВНЫЕ ВЫПЛАТЫ❗ !!ВСЕГДА ЕСТЬ ЗАКАЗЫ❗ !!ГРАФИК ПОЛНОСТЬЮ СВОБОДНЫЙ❗ !!В СВОЕМ РАЙОНЕ❗ !!ВСЕГДА ЕСТЬ ПОДРАБОТКА❗ !!ДОСТАВЛЯЙ УТРОМ ДНЕМ И ВЕЧЕРОМ❗ УСЛОВИЯ: ✨Гарантированно до 540 рублей в час + надбавки и бонусы ‼️ ✨Во время повышенного спроса до 770 рублей в час ‼️ Оставляем отклик и мы напишем вам в WHAT&#39;S APP СРАЗУ или в диалогах. НАШИ ВОЗМОЖНОСТИ: 1*1️⃣Быстрый рост! 2*2️⃣Достойное отношение к работникам (Мы с вами партнеры, а не начальство) 3*3️⃣Получать доход без штрафов! Без опозданий! 4*4️⃣Команда профессионалов! 5*5️⃣Выбирать удобный район и график от 4 часов в неделю! ОБЯЗАННОСТИ: |Доставка документов и посылок, хоз товаров . |Ничего противозаконного❗ |Все товары оплачены и упакованы. |Только по одному району ТРЕБОВАНИЯ: |Мед книжка не нужна |Форму носить не нужно, сумка выдается бесплатно. |Любое гражданство |Опыт не требуется ❗Самые высокие ставки по городу! ❗️НАЖИМАЕМ ОТКЛИК НА ВАКАНСИЮ - МЫ НАПИШЕМ ПОДРОБНЕЕ В WHATS&#39;APP❗️ ПРОСТО НАЖМИТЕ ОТКЛИКНУТЬСЯ - ВСЁ ПОДРОБНО ОБЪЯСНИМ! ОТКЛИКАЙТЕСЬ НА ВАКАНСИЮ УВЕРЕНЫ ВАКАНСИЯ ВАМ ПОНРАВИТСЯ!) ((«курьер, подработка с ежедневными выплатами, ежедневная оплата, свободный график, ночной курьер, доставка, документы, груз, сервис, оплата каждый день, подработка, работа рядом с домом, график, свободный, , работа по району, официальное трудоустройство, зарплата, ЗП, оплата, доставка, работа курьером в деливери клаб, курьер, еженедельная, ежедневная, на руки курьеру, подработка, прямой работодатель, ищу работу, время, работа без опыта, оплата сразу, утреннее, дневное, вечернее , время, режим»))";https://hh.ru/vacancy/89339695
2023;Вечерний курьер (Подработка);Курьер - Центр Найма;91200;132200;RUB;Гибкий график;Частичная занятость;Ярославская область;Ярославль;Ярославль;Небольшой вес до 2 кг. Свободный график. Ежедневные выплаты. Работа в своём районе, или там где удобно. Работай на чем угодно! Новейший сервис ультра коротких заказов от 300 метров до 1.5 км. Стабильно 2-4 ЗАКАЗА в час. За 4 часа от 1600₽ до 2200 За 12 часов от 4800 до 6600 выплаты ежедневно Небольшой вес до 2 кг. Доставка продуктов питания, и еды. ТОвары оплачены и собраны, вы лишь доставляете!Главные преимущества: Самая высокая зарплата. Бесконечные заказы. Абсолютная свобода. Любой ваш график.Условия выплат: Ежедневно на карту Также подойдет, если вы искали: «курьер, подработка с ежедневными выплатами, ежедневная оплата, свободный график, ночной курьер, доставка, лавка, документы, груз, сервис, оплата каждый день, подработка, работа рядом с домом, достависта, график, свободный, , работа по району, официальное трудоустройство, зарплата, ЗП, оплата, доставка, работа курьером, курьер, еженедельная, ежедневная, на руки курьеру, подработка, прямой работодатель, ищу работу, время, работа без опыта, оплата сразу, утреннее, дневное, вечернее , время, режим»;https://hh.ru/vacancy/78395668
2023;Сканировщик на пункт выдачи мелких интернет заказов выходного дня (Подработка);Кондратьева Наталья Михайловна;92420;156280;RUB;Гибкий график;Частичная занятость;Ярославская область;Ярославль;Ярославль;"Сборщик интернет-заказов (Новогодняя подработка). Сборка только у дома. (В своем районе). Вы только собираете, по желанию, можно доставлять и получать дополнительный доход. ❗ Готовы рассмотреть кандидатов с 16 лет НАЖИМАЙТЕ ОТКЛИК НА ВАКАНСИЮ - СРАЗУ ОТПРАВИМ ПОДРОБНОСТИ ✔️ Рассмотрим с любой платформой телефона (андроид или IOS) ✔️ Работа только в вашем районе; ✔️ Море заказов! Успейте заработать в сезон ❗ ЕЖЕНЕДЕЛЬНЫЕ ВЫПЛАТЫ. Официально на карту ❗ ОПЛАТА 1800-3200 за день (часовая ставка - Гарантия) ❗ БЕЗ ОПЫТА. (моментальное вводное обучение) ✅ УСЛОВИЯ РАБОТЫ: • МОЖНО ИСПОЛЬЗОВАТЬ КАК ПОДРАБОТКУ • ЛЮБОЙ РАЙОН ГОРОДА (даже рядом с домом)! • ВЫПЛАТЫ ЕЖЕНЕДЕЛЬНО. Платим даже если нет заказов! • Самые высокие ставки по городу • Чаевые и доплаты 100% ваши, абсолютно НЕТ КОМИССИЙ! • Прием ЕЖЕДНЕВНО (и в выходные)! Начать можно сразу после оформления! ✅ СУТЬ РАБОТЫ: • Собирать заказы в удобном районе • Можно еще доставлять собранные заказы, увеличивая доход (по желанию) ✅ ЗАРАБОТОК: • Средняя оплата за 4 часа от 1000 руб и выше зависит от часов работы! • Еженедельно на карту до 260 рублей в час + надбавки и бонусы • Во время повышенного спроса до 300 рублей в час ЖМИ ОТКЛИКНУТЬСЯ - сразу отправим подробности «подработка , моментальный вывод, подработка с ежедневными выплатами, работа рядом с домом, работа на районе, доставка документов, доставка грузов, оплата каждый день, еженедельная оплата, ежедневная оплата, доставщик яндекс еда, прямой работодатель, деливери клаб, достависта, додо пицца, доставка суши, доставка роллов, delivery club, dostavista, gett, uber, убер, яндекс го, яндекс go, гетт доставка, ищу работу, подработка в вечернее время, работа в утреннее время, работа в дневное время, режим работы, сдэк, сдек, , подключиться на доставку, подработка на выходные, яндекс доставка, яндекс курьерская доставка, яндекс маркет доставка, доставка»";https://hh.ru/vacancy/90343899
2023;подсобный рабочий;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""МОЛОДЕЖНЫЙ ЦЕНТР""";16242;0;RUB;Неполный день;Временная занятость;Ярославская область;Ярославль;Ярославль;в соответствии трудовым кодексом;https://trudvsem.ru/vacancy/card/1027601055668/9f06be85-2ac4-11ee-a26b-536ed1d8c06b
2023;Подсобный рабочий;МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДУБКОВСКАЯ СРЕДНЯЯ ШКОЛА;16242;16242;RUB;Неполный день;Временная занятость;Ярославская область;Дубки;Дубки;Без требований;https://trudvsem.ru/vacancy/card/1027601053182/fb07e085-2ac7-11ee-b9b5-0d972cff014f
2023;Фасовщик-упаковщик (подработка);Вседляклининга;30000;0;RUB;Гибкий график;Частичная занятость;Ярославская область;Ярославль;Ярославль;Открыт набор сотрудников на динамично развивающееся кондитерское производство (пастила) В данный момент мы находимся в поиске Фасовщика-упаковщика пастилы Вакансия подходит в качестве подработки Обязанности: Ручная фасовка и упаковка продукции собственного производства Отгрузка готовой продукции в наименовании и количестве согласно заказам клиентов Соблюдение визуальных стандартов компании Требования: Выполнение установленного норматива производительности труда Опыт работы фасовщиком/упаковщиком не обязателен Условия: Производство находиться в центре города Оборудованы обеденная зона и раздевалки График работы: 2/2, 5/2, работа на часы и по совмещению . Оплата сдельная, ориентировочная ставка 160 руб в час + премия Выплаты 2 раза в месяц без задержек Предоставляется униформа Чай, кофе, сладости и корпоративные мероприятия за счет работодателя Оставляйте отклик и мы свяжемся с Вами.;https://hh.ru/vacancy/81968118
